,JNCPTXFF Index,JNUE Index,JNWSDYOY Index,JBTARATE Index,JNIPMOM Index,JNBPAB Index,JNTIAIAM Index,JNMOCHNG Index,JNTIAMOM Index
2003-01-31,-0.6,5.4,-1,0.58,-0.4,448.2,1.4,15.7,1.4
2003-02-28,-0.7,0.6,5.2,-0.8,0.59,0.4,0.2,0.59,0.4
2003-03-31,-0.7,-1.4,5.4,-0.8,0.6,0.9,0.4,0.6,0.9
2003-04-30,-0.4,1.5,5.5,-0.8,0.61,-1.5,-1.2,0.61,-1.5
2003-05-30,-0.4,-0.9,5.4,-1.1,0.61,1.2,0.9,0.61,1.2
2003-06-30,-0.4,0.8,5.4,-1.3,0.62,-0.1,0,0.62,-0.1
2003-07-31,-0.4,-1.4,5.2,-0.8,0.63,-0.6,-0.3,0.63,-0.6
2003-08-29,-0.3,3,5.1,-0.7,0.65,0.7,0.3,0.65,0.7
2003-09-30,-0.3,1.7,5.2,-0.6,0.67,0.7,0.7,0.67,0.7
2003-10-31,-0.1,-0.2,5.1,-0.5,0.7,0.6,0.8,0.7,0.6
2003-11-28,-0.2,-0.1,5.1,-0.5,0.72,-0.8,-0.6,0.72,-0.8
2003-12-31,-0.1,1.6,4.9,-0.2,0.75,0.3,0.2,0.75,0.3
2004-01-30,-0.3,-0.2,4.9,0,0.76,0.5,0.4,0.76,0.5
2004-02-27,-0.2,-0.5,5,0,0.76,-0.4,-0.4,0.76,-0.4
2004-03-31,-0.1,1.7,4.8,0.2,0.77,-0.1,-0.3,0.77,-0.1
2004-04-30,-0.1,0,4.8,0.6,0.78,0.7,1,0.78,0.7
2004-05-31,-0.1,0.3,4.7,0.9,0.8,-0.5,-0.1,0.8,-0.5
2004-06-30,-0.1,1.2,4.7,1.5,0.82,0.6,0.2,0.82,0.6
2004-07-30,-0.1,-1.1,4.9,1.7,0.83,0.7,0.8,0.83,0.7
2004-08-31,-0.2,0.2,4.8,1.7,0.84,-0.8,-0.8,0.84,-0.8
2004-09-30,-0.1,-1.5,4.6,1.9,0.86,0.2,0.1,0.86,0.2
2004-10-29,-0.3,0.9,4.6,2.1,0.88,0.4,0.1,0.88,0.4
2004-11-30,-0.3,-1.3,4.5,2.1,0.91,0,0,0.91,0
2004-12-31,-0.4,2.3,4.5,1.9,0.92,0.3,0.1,0.92,0.3
2005-01-31,-0.5,-0.1,4.5,1.4,0.91,0.7,0.8,0.91,0.7
2005-02-28,-0.5,0.3,4.6,1.3,0.91,-0.4,-0.3,0.91,-0.4
2005-03-31,-0.5,0.5,4.5,1.4,0.93,0.4,0.2,0.93,0.4
2005-04-29,-0.5,-0.7,4.5,1.9,0.94,0.3,0.1,0.94,0.3
2005-05-31,-0.4,0.3,4.5,1.8,0.94,-1.1,-0.4,0.94,-1.1
2005-06-30,-0.4,-0.8,4.3,1.4,0.95,1.1,0.6,0.95,1.1
2005-07-29,-0.4,0.1,4.4,1.6,0.96,-0.2,-0.1,0.96,-0.2
2005-08-31,-0.3,0.9,4.3,1.8,0.96,0.9,0.6,0.96,0.9
2005-09-30,-0.4,-0.5,4.2,1.8,0.96,0.3,0.2,0.96,0.3
2005-10-31,-0.3,1.6,4.4,2.1,0.98,-0.2,-0.2,0.98,-0.2
2005-11-30,-0.3,0.2,4.5,2,0.99,0.7,0.8,0.99,0.7
2005-12-30,-0.2,0.4,4.4,2.3,1.01,0.5,0.5,1.01,0.5
2006-01-31,-0.4,-0.1,4.4,2,1.03,0.1,0,1.03,0.1
2006-02-28,-0.2,0.6,4.1,2.2,1.04,-0.5,-0.3,1.04,-0.5
2006-03-31,-0.1,2,4.1,2,1.05,0.1,0.2,1.05,0.1
2006-04-28,-0.1,-1.4,4.1,1.7,1.05,-0.1,0.3,1.05,-0.1
2006-05-31,-0.1,1.3,4.1,2.3,1.07,0.1,-0.2,1.07,0.1
2006-06-30,0,0.4,4.2,2.5,1.07,0.3,0.3,1.07,0.3
2006-07-31,0,0.4,4.1,2.5,1.08,-0.3,-0.2,1.08,-0.3
2006-08-31,0,0,4.1,2.6,1.07,0.3,0.4,1.07,0.3
2006-09-29,0,0.8,4.1,2.7,1.07,-0.2,-0.5,1.07,-0.2
2006-10-31,0.1,0.4,4.1,2,1.06,0.5,0.9,1.06,0.5
2006-11-30,0.2,0.3,4,1.9,1.06,0.1,0,1.06,0.1
2006-12-29,0.2,-1.1,4,1.7,1.06,0.4,0.4,1.06,0.4
2007-01-31,0.2,0.6,4,1.5,1.06,-0.6,-0.4,1.06,-0.6
2007-02-28,0,0,4,1.2,1.05,0.9,0.5,1.05,0.9
2007-03-30,-0.1,-0.4,4,1.3,1.05,-0.2,-0.2,1.05,-0.2
2007-04-30,0,1.1,3.8,1.9,1.07,0.1,0,1.07,0.1
2007-05-31,0,0.1,3.8,1.7,1.07,0.2,0.1,1.07,0.2
2007-06-29,-0.1,0.1,3.7,1.8,1.07,0.3,0.2,1.07,0.3
2007-07-31,-0.1,2.5,3.6,1.8,1.06,-0.7,-0.7,1.06,-0.7
2007-08-31,0,-1.6,3.7,1.6,1.05,0.9,1,1.05,0.9
2007-09-28,-0.1,1.9,4,1.3,1.03,-0.6,-1.3,1.03,-0.6
2007-10-31,0,-1.5,4,2,1.01,-0.1,0.7,1.01,-0.1
2007-11-30,0.1,0.6,3.8,2.3,0.98,0.5,0.2,0.98,0.5
2007-12-31,0.3,0.5,3.8,2.6,0.98,-0.6,-0.1,0.98,-0.6
2008-01-31,0.4,0.5,3.9,3,0.97,0.2,0.2,0.97,0.2
2008-02-29,0.4,-1.3,4,3.6,0.95,0.2,-0.1,0.95,0.2
2008-03-31,0.6,-0.6,3.8,4,0.96,-0.5,-0.7,0.96,-0.5
2008-04-30,0.7,1.2,3.9,4,0.96,0.2,0,0.96,0.2
2008-05-30,0.9,-2,4,4.9,0.95,-0.2,0,0.95,-0.2
2008-06-30,1.3,-0.3,4,5.8,0.92,-0.6,-0.9,0.92,-0.6
2008-07-31,1.6,-3.1,4,7.5,0.9,0.3,0.1,0.9,0.3
2008-08-29,1.5,0.1,4.1,7.5,0.87,-0.9,-1,0.87,-0.9
2008-09-30,1.7,-3.4,4,6.9,0.83,-0.3,-0.5,0.83,-0.3
2008-10-31,1.5,-7,3.8,4.5,0.79,0,0.2,0.79,0
2008-11-28,1.1,-8.4,4,2.4,0.75,-0.9,-2.1,0.75,-0.9
2008-12-31,0.8,-8.4,4.4,0.9,0.71,-1.7,-2.5,0.71,-1.7
2009-01-30,0.5,-8.6,4.2,-0.9,0.64,-0.1,-1.3,0.64,-0.1
2009-02-27,0.6,2.2,4.4,-2,0.57,-0.7,-3.7,0.57,-0.7
2009-03-31,0.4,4.5,4.8,-2.6,0.52,-3.4,-1,0.52,-3.4
2009-04-30,0,4.6,4.9,-4.1,0.49,2,2.4,0.49,2
2009-05-29,-0.7,1.5,5.1,-5.6,0.46,-0.2,0.9,0.46,-0.2
2009-06-30,-1.3,1.1,5.2,-6.8,0.44,0.2,0.3,0.44,0.2
2009-07-31,-1.7,1.5,5.5,-8.4,0.43,0.5,0.5,0.43,0.5
2009-08-31,-1.9,1.8,5.3,-8.5,0.43,0.2,0,0.43,0.2
2009-09-30,-2.1,1.5,5.3,-7.9,0.43,-0.3,0.1,0.43,-0.3
2009-10-30,-2.2,2.6,5.2,-6.8,0.44,0.2,0.2,0.44,0.2
2009-11-30,-1.9,2.6,5.3,-5,0.44,-0.2,-0.2,0.44,-0.2
2009-12-31,-1.9,3.4,5.2,-3.8,0.44,-0.7,-0.3,0.44,-0.7
2010-01-29,-2,1.7,5.1,-2.1,0.45,1.9,1.7,0.45,1.9
2010-02-26,-1.8,0.1,5,-1.6,0.46,-0.4,-0.1,0.46,-0.4
2010-03-31,-1.8,0.6,5.1,-1.3,0.48,-1.1,-0.2,0.48,-1.1
2010-04-30,-1.9,-0.1,5.1,-0.2,0.49,1.6,0.9,0.49,1.6
2010-05-31,-1.5,-1.5,5.1,0.4,0.5,-0.3,0,0.5,-0.3
2010-06-30,-1.3,0.3,5.1,0.5,0.52,0.1,0.2,0.52,0.1
2010-07-30,-1.3,-0.1,5,-0.1,0.53,0.7,1.1,0.53,0.7
2010-08-31,-1.1,-0.8,5,0,0.54,0.1,-0.5,0.54,0.1
2010-09-30,-1,-1.4,5.1,-0.1,0.55,-0.4,-0.4,0.55,-0.4
2010-10-29,-0.5,1.6,5.1,0.9,0.56,0.2,0,0.56,0.2
2010-11-30,-0.5,2.4,5,0.9,0.58,0.6,0.3,0.58,0.6
2010-12-31,-0.4,1.2,4.9,1.2,0.59,-0.2,0.1,0.59,-0.2
2011-01-31,-0.8,1.1,4.8,0.6,0.6,0.5,-0.5,0.6,0.5
2011-02-28,-0.8,-16.2,4.7,0.7,0.62,0.3,0.1,0.62,0.3
2011-03-31,-0.8,2.4,4.7,1.3,0.62,-5.4,-6.6,0.62,-5.4
2011-04-29,-0.5,5.8,4.7,1.8,0.61,2.1,2,0.61,2.1
2011-05-31,-0.4,3.8,4.6,1.6,0.61,0.9,1.6,0.61,0.9
2011-06-30,-0.4,1.1,4.7,1.9,0.62,1.2,1.5,0.62,1.2
2011-07-29,-0.1,0.9,4.7,2.2,0.64,0.4,0.5,0.64,0.4
2011-08-31,-0.2,-1.9,4.5,2.2,0.65,0.1,0.2,0.65,0.1
2011-09-30,-0.1,1.8,4.2,2,0.67,-0.2,-0.1,0.67,-0.2
2011-10-31,-0.4,-1.7,4.5,1.3,0.69,0.6,0.6,0.69,0.6
2011-11-30,-0.5,2.3,4.5,1.3,0.71,-0.8,-0.9,0.71,-0.8
2011-12-30,-0.3,0.9,4.5,0.8,0.72,1.6,1.7,0.72,1.6
2012-01-31,-0.4,-1.6,4.5,0.3,0.74,-0.6,-0.7,0.74,-0.6
2012-02-29,-0.3,1.3,4.5,0.4,0.75,0,-0.1,0.75,0
2012-03-30,-0.3,-0.2,4.5,0.3,0.76,-0.6,-0.3,0.76,-0.6
2012-04-30,-0.5,-3.4,4.5,-0.7,0.79,-0.2,0.1,0.79,-0.2
2012-05-31,-0.8,0.4,4.4,-0.9,0.8,0.9,-0.2,0.8,0.9
2012-06-29,-0.6,-1,4.3,-1.5,0.81,0.1,0.3,0.81,0.1
2012-07-31,-0.6,-1.6,4.3,-2.3,0.81,-0.6,-0.5,0.81,-0.6
2012-08-31,-0.5,-4.1,4.2,-2,0.81,0.3,0,0.81,0.3
2012-09-28,-0.4,1.6,4.3,-1.5,0.81,0.2,-0.4,0.81,0.2
2012-10-31,-0.4,-1.4,4.2,-1.1,0.81,0.2,0.3,0.81,0.2
2012-11-30,-0.5,2.4,4.2,-1.1,0.82,-0.5,-0.4,0.82,-0.5
2012-12-31,-0.6,0.3,4.3,-0.7,0.83,1.3,1.7,0.83,1.3
2013-01-31,-0.5,0.6,4.2,-0.4,0.85,-1.5,-1.6,0.85,-1.5
2013-02-28,-0.6,0.2,4.3,-0.1,0.85,1.1,0.6,0.85,1.1
2013-03-29,-0.5,,4.1,-0.5,0.86,,-0.5,0.86,
2013-04-30,-0.3,,,,,,,,
